# UT99 Map Dependencies - Extracted Mi 28. Jan 14:37:34 CET 2026
# Format: MapName|Package1,Package2,Package3,...

BR-BadNeighborsV2.unr|aBrBase,AmbAncient,AmbOutside,Botpack,Core,CTF,Engine,GenEarth,genfluid,HubEffects,Metalmys,Mine,RainFX,Razor-ub,ShaneChurch,ShaneSky,skybox,Starship,UnrealShare
BR-BedroomsSGE.unr|aBrBase,AmbAncient,AmbModern,AmbOutside,Ancient,Bedroom,Botpack,Core,Engine,FCommandoSkins,GenEarth,genfluid,GenIn,Organic,UnrealI,UnrealShare
BR-Bridges.unr|aBrBase,Botpack,Core,Engine,genfluid,SaveMe,UnrealShare,UTtech2
BR-CivilWar2.unr|aBrBase,AmbOutside,Botpack,Core,CTF,DDay,DoorsAnc,Engine,GenEarth,genfluid,Mine,Mission,ShaneDay,skybox,UnrealI,UnrealShare
BR-(KoR)AReNAv3.unr|aBrBase,AmbOutside,ath,Botpack,Coret_FX,CTF,DJRedBass-Abuse,DoorsMod,Engine,GenFluid,UnrealShare
CTF-20AC-BloodRushV4.unr|AmbAncient,AmbModern,AmbOutside,Botpack,Core,Crypt2,CTF,DoorsAnc,Engine,Fire,genearth,genfx,mine,Run,SkyBox,SpaceFX,Starship,UnrealShare,utcrypt
CTF-20AC-FoundationV2.unr|AmbAncient,AmbCity,AmbModern,AmbOutside,Botpack,city,Core,DoorsMod,Editor,Engine,Fire,firebr,GenFluid,GenFX,Metalmys,noxxpack,RainFX,ShaneChurch,Slums,SpaceFX,UnrealShare,UT99org-20AC,UTtech1,UTtech3
CTF-2BigBoxesFilledWithw00t.unr|AmbAncient,Botpack,Core,Engine,LadrArrow,LavaFX,Mech8,RainFX,SGTech1,swJumpPad,UnrealShare,XbpFX
CTF-512K-ArcaneEnigma_v1.unr|Ancient,Botmca9,Botpack,chizraefx,Core,CTF,Engine,genfluid,genfx,GenIn,Mine,RainFX,ShaneChurch,ShaneDay,ShaneSky,skybox,SpaceFX,UnrealShare
CTF-512k-Belacruev1.unr|Ancient,Botpack,Crypt2,CTF,Engine,genfluid,GenFX,HubEffects,Indus5,ShaneSky,SkyBox,Skyward,UnrealI,UnrealShare
CTF-512k-Caliginous-V2.unr|AlfaFX,AmbAncient,Botpack,Core,Crypt2,Crypt_FX,DoorsAnc,Engine,genfluid,HubEffects,Indus6,JWSky,NaliCast,NaliFX,Phantom,ShaneSky,UnrealShare,UTcrypt
CTF-512K-CostaDelw00t.unr|AmbOutside,Ancient,Botpack,Core,CTF,DDayFX,Egypt,Engine,GenEarth,HubEffects,Indus6,LadrArrow,Metalmys,NaliFX,SkyCity,SpaceFX,TrenchesFX,UnrealI,UnrealShare,UnWorld2,UTtech1
CTF-512k-Courtyard.unr|Botpack,DoorsAnc,Engine,GenEarth,Mine,UnrealShare,XbpFX
CTF-512K-Gravo.unr|Botpack,Core,CTF,DecayedS,Engine,FractalFX,GenEarth,genfluid,GenFX,KR-Corrugation,LadrArrow,Mine,PlayrShp,RainFX,SpaceFX,swJumpPad,UnrealShare,UTtech1,XbpFX,XFX,Xtortion
CTF-512K-Gravo_V2.unr|Botpack,Core,CTF,DecayedS,Engine,FractalFX,GenEarth,genfluid,GenFX,LadrArrow,Mine,PlayrShp,RainFX,SaveMe,SpaceFX,UnrealI,UnrealShare,UTtech1,XbpFX,XFX,Xtortion
CTF-512K-HallOfMidgets_v1.unr|Addon1,AmbModern,Botpack,Core,Engine,GenFluid,GenFX,Liquids,Nether,ShaneDay,Skaarj,SpaceFX,UnrealI,UnrealShare,UTtech1
CTF-512k-In_A_Cave.unr|Botpack,Core,Crypt,Engine,GenEarth,NaliFX,UnrealI,UnrealShare,Wheels
CTF-512K-Ioneye-v2.unr|AmbModern,Botpack,Coret_FX,Engine,GenIn,RainFX,Skyward,UnrealI,UnrealShare,UTtech1,UTtech2,UWindow,XFX,Xtortion
CTF-512K-Isotope42-V3.unr|AmbAncient,AmbModern,Botpack,Botpck10,Core,CTF,Engine,LadrArrow,PlayrShp,RainFX,UnrealI,UnrealShare,UTtech1,UTtech2
CTF-512K-Kaylonv2.unr|AmbModern,Botpack,Core,Engine,firebr,GenEarth,GenFX,Liquids,Mine,SGTech1,TCrystal,UnrealShare,UTtech1,Xtortion
CTF-512K-MeinKraft.unr|AmbAncient,Botpack,Core,Detail,Editor,Engine,NaliFX,Phantom,ShaneDay,UnrealI,UnrealShare,XFX
CTF-512k-Ratcherv2.unr|Botpack,Coret_FX,CTF,Engine,FractalFX,GenEarth,genfluid,GenFX,GenIn,Indus5,Organic,SkyBox,UnrealI,UnrealShare,UTtech1
CTF-512K-RooftopRage_v1.unr|Botpack,city,Core,CTF,DecayedS,Engine,genfluid,GenFX,Lock,Mine,PlayrShp,SGTech1,ShaneChurch,ShaneDay,ShaneSky,Slums,SpaceFX,UnrealShare,UTtech1,Xtortion
CTF-512K-Templeness.unr|AmbAncient,Ancient,Botpack,Crypt2,Crypt_FX,Engine,FireEng,LavaFX,Metalmys,ShaneDay,UnrealShare
CTF-512K-TheBeatGoesOn_V5a.unr|Botpack,Core,CTF,Engine,firebr,GenFluid,GenFX,LadrArrow,Metalmys,Mine,SGTech1,ShaneDay,Skaarj,SkyBox,UnrealI,UnrealShare,UTtech2,XbpFX,Xtortion
CTF-AllYourFacingW00t-SSE.unr|AmbAncient,AmbModern,Botpack,Core,CTF,Engine,Foregone,GenFX,GenIn,LadrArrow,ShaneSky,SpaceFX,swJumpPad,UnrealShare,UTtech1,XbpFX
CTF-Beatitude.unr|AmbAncient,AmbOutside,Ancient,Botpack,Core,CTF,Engine,GenEarth,genfluid,genfx,GenIn,GreatFire,GreatFire2,liquids,Nether,ShaneChurch,ShaneDay,ShaneSky,skybox,UnrealI,UnrealShare
CTF-CloseToTheEdge.unr|AmbAncient,AmbOutside,Ancient,ArenaTex,Botpack,city,Core,Engine,GenEarth,GenFluid,Skaarj,UnrealI,UnrealShare
CTF-CMC-HellScape-vF.unr|AmbAncient,Botpack,Chaos)(,chaos_special_tex,CTF,Engine,FireEng,genfluid,GenFX,hubeffects,Mine,NaliCast,UnrealShare,UTChaosMap,UTtech1,ZAN_MET
CTF-CMC-Kullrena-Lite.unr|AmbAncient,AmbModern,AmbOutside,Botpack,Core,Crypt2,CSMCXExtras,CTF,DDayFX,DoorsMod,Engine,Fire,genfluid,GenFX,Indus6,JWSky,Metalmys,Mine,PlayrShp,Seeker2,UnrealI,UnrealShare,UTcrypt,UTtech1
CTF-CMC-Kullrena.unr|AmbAncient,AmbModern,AmbOutside,Botpack,Core,Crypt2,CSMCXExtras,CTF,DDayFX,DoorsMod,Engine,Fire,genfluid,GenFX,Indus6,JWSky,Metalmys,Mine,PlayrShp,Seeker2,UnrealI,UnrealShare,UTcrypt,UTtech1
CTF-Command.unr|Ambancient,AmbModern,Botpack,Core,CTF,DecayedS,DoorsMod,Engine,GenFX,GenIn,hubeffects,Metalmys,Seeker,Skaarj,UnrealShare,UTtech1,uttech2
CTF-Coret.unr|AmbModern,Botpack,Core,Coret_FX,CTF,DecayedS,Detail,DoorsMod,Engine,firebr,FractalFX,genfluid,PlayrShp,ShaneSky,Skybox,UnrealI,UnrealShare
CTF-Coret][.unr|AmbModern,ArenaTex,Botpack,Core,Coret_FX,CTF,DecayedS,Detail,DoorsMod,Engine,FractalFX,genfluid,Kran32,K_vision,PlayrShp,ShaneSky,Skybox,UnrealI,UnrealShare,Xtortion
CTF-cubew00t.unr|AmbModern,Botpack,Core,CTF,Detail,Egypt,Engine,Foregone,genfluid,HourIndusX_UT,LadrArrow,rain,SGTech1,swJumpPad,UnrealI,UnrealShare,UTtech1,UTtech2
CTF-Cybrosis][.unr|Ambmodern,AmbOutside,Botpack,Core,CTF,DoorsMod,Engine,GenFX,GenIn,ISVFX,Liquids,SpaceFX,UnrealI,UnrealShare,UTtech1,UTtech2,Wheels,xfx
CTF-Darji16.unr|Ambmodern,Botpack,Core,CTF,DoorsMod,Egypt,Engine,Foregone,genfluid,GenFX,UTtech1,UTtech2,UTtech3
CTF-DeadMeatGF.unr|AmbModern,AmbOutside,Botpack,city,Core,Engine,Indus1,LadrArrow,ShaneSky,Skyward,swJumpPad,UTtech1
CTF-Deck16]I[.unr|AmbAncient,AmbModern,Botpack,Core,Coret_FX,CTF,DecayedS,Deck16,DoorsAnc,DoorsMod,Engine,FractalFX,GenFX,Godown,HubEffects,Indus4,Indus5,Mine,PlayrShp,RainFX,SpaceFX,UnrealI,UnrealShare,UTtech1,UTtech2,UTtech3,XbpFX
CTF-Dreary.unr|AmbModern,AmbOutside,Botpack,Core,Course,CTF,DecayedS,DoorsMod,Engine,GenEarth,genfluid,GenFX,GenIn,NaliFX,Palettes,rain,RainFX,ShaneSky,SkyBox,Starship,UnrealShare
CTF-EpicBoy.unr|AmbOutside,Botpack,Core,Crypt,DDayFX,Engine,eol,GenEarth,GenFluid,GenFX,GenIn,Indus6,NaliCast,ShaneChurch,ShaneDay,ShaneSky,SkyBox,TrenchesFX,UnrealI,UnrealShare,UnWorld2
CTF-EternalCave2.unr|AmbAncient,AmbOutside,Ancient,Botpack,Core,CTF,Engine,Foregone,GenEarth,genfluid,GenFX,HubEffects,Indus4,UnrealShare,UT,UTtech1
CTF-EternalCave.unr|AmbAncient,AmbOutside,Ancient,Botpack,Core,CTF,Engine,Foregone,GenEarth,genfluid,GenFX,HubEffects,Indus4,UnrealShare,UT,UTtech1
CTF-Face]III[.unr|Botpack,Core,Crypt2,CTF,Engine,Foregone,GenEarth,genfluid,GenFX,GreatFire,JWSky,PlayrShp,ShaneChurch,SkyCity,SpaceFX,UnrealShare,utcrypt,UTtech1,XbpFX
CTF-Face-SE.unr|Botpack,Core,Crypt2,CTF,Engine,Foregone,genfluid,GenFX,GreatFire,JWSky,PlayrShp,ShaneChurch,SkyCity,SpaceFX,UnrealShare,utcrypt,UTtech1,XbpFX
CTF-Face.unr|Botpack,Core,Crypt2,CTF,Engine,Foregone,genfluid,GenFX,GreatFire,JWSky,PlayrShp,ShaneChurch,SkyCity,SpaceFX,UnrealShare,utcrypt,UTtech1,XbpFX
CTF-Face][.unr|Botpack,Core,CTF,DoorsMod,Engine,Foregone,FractalFX,GenFluid,GenFX,JWSky,ShaneChurch,SkyCity,SpaceFX,UnrealShare,UTtech1,uttech2,XbpFX,xutfx
CTF-FastandW00tabulous.unr|AmbAncient,AmbOutside,Botpack,Core,Crypt2,CTF,DDayFX,Engine,GenFluid,GreatFire,LadrArrow,Liquids,Phantom,SkyBox,swJumpPad,TrenchesFX,UnrealShare,UTcrypt
CTF-FlyThroughTheW00t.unr|AmbAncient,AmbOutside,Botpack,Core,CTF,DoorsAnc,Engine,FireEng,GenEarth,GenFluid,GenFX,GenIn,HubEffects,Indus6,LadrArrow,Mine,NaliCast,Old_FX,Phantom,RainFX,ShaneChurch,ShaneDay,SkyCity,swJumpPad,TCrystal,UnrealShare,UT,UTcrypt,UTtech1
CTF-FreezeYourW00tsOff.unr|AmbModern,Amboutside,Botpack,Core,Detail,Engine,Fire,GenFluid,GenFX,LadrArrow,ShaneDay,UnrealI,UnrealShare,UTtech2,XbpFX
CTF-Gauntlet.unr|Ambancient,Botpack,Core,Crypt2,CTF,DDayFX,DoorsAnc,Engine,genfluid,GenFX,hubeffects,Indus6,Mission,shaneDAY,ShaneSky,SkyCity,SpaceFX,TrenchesFX,UnrealShare,UT,utcrypt,UTtech1
CTF-GreenHillZone.unr|AmbAncient,Botpack,Core,Detail,Engine,Fire,NaliCast,PlayrShp,UnrealI,UnrealShare,Xtortion
CTF-HallOfGiants.unr|Addon1,AmbModern,Botpack,Core,Engine,GenEarth,GenFX,Nether,Skaarj,SpaceFX,UTtech1,XFX
CTF-High.unr|AmbCity,AmbModern,AmbOutside,Botpack,Botpck10,city,Core,DDayFX,DecayedS,DoorsMod,Engine,GenFX,GenIn,Indus5,Metalmys,NaliCast,noxxpack,RainFX,ShaneChurch,Slums,TrenchesFX,UnrealShare,XbpFX,xutfx
CTF-Hydro16.unr|AmbAncient,AmbModern,AmbOutside,Botpack,city,Core,Coret_FX,CTF,DDayFX,DecayedS,DoorsMod,Engine,genfluid,genfx,Lian-X,liquids,Metalmys,Mine,NaliFX,RainFX,Run,shanechurch,skybox,Slums,TrenchesFX,UnrealI,UnrealShare,UTtech1,UTtech2,XFX
CTF-Hydrow00t.unr|AmbModern,AmbOutside,Botpack,city,Core,Detail,Engine,LadrArrow,Mission,RainFX,ShaneSky,swJumpPad,UnrealShare,UTtech1
CTF-IronW00t.unr|Activates,AmbModern,Amboutside,Botpack,Core,Coret_FX,Crypt,CTF,DDayFX,detail,DoorsAnc,DoorsMod,Engine,Fire,GenFluid,GenFX,LadrArrow,Razor-ub,swJumpPad,TrenchesFX,UnrealShare,UTtech1
CTF-Kosov.unr|Ambancient,AmbModern,AmbOutside,Botpack,Core,Crypt2,CTF,Engine,GenEarth,GenFluid,GenFX,GreatFire,hubeffects,Mine,Mission,PlayrShp,RainFX,ShaneChurch,shaneDAY,SKYBox,SkyCity,UnrealShare,UT,UTtech1,uttech2,XbpFX
CTF-LavaGiant.unr|AmbOutside,Ancient,Botpack,Core,CTF,Engine,GenEarth,genfluid,GenFX,hubeffects,Lian-X,shaneDAY,Skyward,UnrealI,UnrealShare,UT,UTtech1
CTF-morphew00t.unr|AmbModern,AmbOutside,Botpack,city,Core,CTF,Engine,FractalFX,genfluid,GenFX,LadrArrow,RainFX,SaveMe,ShaneSky,SpaceFX,swJumpPad,UnrealShare,UTtech1
CTF-Niven.unr|AmbModern,Botpack,Core,Coret_FX,CTF,DecayedS,DoorsMod,Engine,GenFX,GenIn,HubEffects,ISVFX,Liquids,NivenFX,PlayrShp,RainFX,Run,SpaceFX,UnrealI,UnrealShare,UTtech1,UTtech2,XFX
CTF-NovemberCE105.unr|Ambancient,AmbModern,Botpack,Core,Crypt,CTF,DDayFX,DecayedS,Engine,GenEarth,genfluid,GenFX,hubeffects,Indus5,Liquids,Metalmys,Mine,PlayrShp,RainFX,Seeker,shaneDAY,SKYBox,TrenchesFX,UnrealShare,UT,UTtech1
CTF-November.unr|Ambancient,AmbModern,AmbOutside,Botpack,Core,Crypt2,DDayFX,DecayedS,Engine,GenEarth,genfluid,GenFX,hubeffects,Indus5,Liquids,Metalmys,Mine,PlayrShp,Seeker,shaneDAY,SKYBox,TrenchesFX,UnrealShare,UT,UTtech1
CTF-Noxion16.unr|AmbModern,AmbOutside,Botpack,Core,CTF,DDayFX,Engine,genfluid,genfx,Metalmys,Mine,RainFX,Seeker2,Slums,TrenchesFX,UnrealI,UT,UTtech1,XbpFX
CTF-Noxiousw00t.unr|Botpack,Core,CTF,Engine,Fire,genfluid,GenIn,LadrArrow,Liquids,RainFX,Run,ShaneSky,swJumpPad,UnrealShare,UTtech1,UTtech2
CTF-Nucleus.unr|AmbModern,Botpack,Core,Course,CTF,DecayedS,DoorsMod,Engine,GenFluid,GenFX,GenIn,RainFX,shaneDAY,shanesky,SKYBox,UnrealShare,UTtech1,uttech2,XbpFX,XFX
CTF-Orbital-LE102.unr|AmbModern,Botpack,Core,DoorsMod,Engine,genfluid,GenFX,GenIn,JWSky,SaveMe,ShaneChurch,ShaneDay,SkyCity,UnrealShare,UTtech1,UTtech2,XbpFX
CTF-Orbital.unr|AmbModern,Botpack,Core,DoorsMod,Engine,genfluid,GenFX,GenIn,JWSky,SaveMe,ShaneChurch,ShaneDay,SkyCity,UTtech1,UTtech2,XbpFX
CTF-Ratchet.unr|Botpack,Core,CTF,DDayFX,DecayedS,DoorsMod,Engine,GenFX,Indus1,Indus6,liquids,Lock,Metalmys,Mine,Slums,TrenchesFX,UnrealShare,UT,UTtech1,UTtech2
CTF-SkaarjOutpost.unr|AmbAncient,AmbModern,AmbOutside,Ancient,Botpack,Core,Coret_FX,CTF,DecayedS,DoorsMod,Engine,GenFX,HubEffects,Liquids,Metalmys,Phantom,Queen,Skaarj,UnrealShare
CTF-ValleyOfTheW00ts.unr|AmbModern,AmbOutside,Botpack,Colossus,Core,Coret_FX,CTF,DecayedS,detail,DoorsMod,Engine,FallDamageHandler,Fire,genfluid,GenFX,LadrArrow,Metalmys,Mine,PlayrShp,RainFX,SGTech1,swJumpPad,UnrealShare,UTtech3
CTF-w00t-16.unr|Botpack,Core,DecayedS,Engine,genfluid,GenIn,Godown,HubEffects,LadrArrow,noxxpack,PlayrShp,swJumpPad,UnrealShare,UTtech1,UTtech2
CTF-W00tamitsu.unr|AmbAncient,AmbOutside,Ancient,Botpack,Core,Crypt,Engine,Fire,GenEarth,GenFX,GenIn,Indus6,LadrArrow,Mine,NaliCast,NaliFX,UnrealI,UnrealShare,UT,UTcrypt
CTF-w00tCityBlues.unr|AmbCity,AmbModern,AmbOutside,Botpack,city,Core,CTF,Engine,genfluid,Indus1,LadrArrow,noxxpack,Run,ShaneSky,swJumpPad,UnrealI
CTF-w00terGalactic.unr|AmbModern,Botpack,city,Core,Coret_FX,Detail,Engine,LadrArrow,Mech8,Mine,ShaneSky,swJumpPad,UnrealI,UTtech1,UTtech2,UTtech3
CTF-w00t-Eternal.unr|AmbAncient,Ancient,Botpack,Core,CTF,Engine,GenEarth,GenFX,HubEffects,JWSky,LadrArrow,swJumpPad,UnrealShare,UTtech1,WibbleCave
CTF-w00t-goes-UP.unr|Botpack,Core,Engine,FallDamageHandler,genfluid,GenFX,Godown,LadrArrow,ShaneSky,Starship,swJumpPad,UnrealShare,XbpFX
CTF-w00tInferno.unr|Ancient,Botpack,Core,Crypt,Crypt2,CTF,Detail,Engine,GenEarth,HubEffects,LadrArrow,NaliCast,ShaneSky,Skyward,swJumpPad,UnrealShare
CTF-w00t_Invaders.unr|Botpack,Core,Engine,Godown,LadrArrow,swJumpPad,UnrealShare
CTF-w00tious-SE.unr|AmbModern,Botpack,city,Core,Detail,Engine,LadrArrow,liquids,RainFX,SabbygibtacularMusic,swJumpPad,TrenchesFX,UnrealI,UnrealShare,UTtech1,UTtech2
CTF-w00tris.unr|Botpack,Core,Detail,Engine,LadrArrow,swJumpPad
DM-18+Deck17][.unr|AmbAncient,AmbModern,Botpack,Core,DecayedS,DoorsMod,Engine,GenFX,GoDown_MixUT3,IndusDeck,Mine,richrig,SGTech1,SpaceFX,UnrealShare,UTtech1,UTtech2,UTtech3
DM-18+Deck40.unr|AmbAncient,AmbModern,AmbOutside,Botpack,Core,Detail,DoorsMod,Engine,Fire,GenFluid,GenFX,HyperBore,ParticleSystem_43,ShaneSky,UnrealShare
DM-20AC-CrypticDungeonV2.unr|AmbAncient,AmbOutside,Ancient,Botpack,Core,Crypt2,Crypt_FX,DecayedS,DoorsAnc,Engine,FBredux,GenEarth,genfluid,GenFX,HubEffects,Mine,NaliCast,ShaneChurch,ShaneSky,SkyBox,SpaceFX,UnrealShare,Xtortion
DM-512K-Aquarius.unr|AmbAncient,AmbOutside,Botpack,Engine,Enigma,GenIn,Indus6,Liquids,NaliCast,ShaneChurch,SkyCity,UnrealI,UnrealShare,UTtech1
DM-512K-ArcaneEnigma_v1.unr|Ancient,Botmca9,Botpack,chizraefx,Core,CTF,Engine,genfluid,genfx,GenIn,Mine,RainFX,ShaneChurch,ShaneDay,ShaneSky,skybox,SpaceFX,UnrealShare
DM-512k-Ataraxia.unr|AlfaFX,Botpack,Course,DoorsMod,Engine,genfluid,HubEffects,Metalmys,RainFX,SGTech1,ShaneSky,Starship,UnrealShare,UTtech1,UTtech2
DM-512k-Atriumv1.unr|AmbModern,Botmca9,Botpack,Engine,genfluid,GenFX,UnrealShare,UTtech1,XbpFX,XFX
DM-512k-Belacruev1.unr|Ancient,Botpack,Crypt2,CTF,Engine,genfluid,GenFX,HubEffects,Indus5,ShaneSky,SkyBox,Skyward,UnrealI,UnrealShare
DM-512k-Caliginous-V2.unr|AlfaFX,AmbAncient,Botpack,Core,Crypt2,Crypt_FX,DoorsAnc,Engine,genfluid,HubEffects,Indus6,JWSky,NaliCast,NaliFX,Phantom,ShaneSky,UnrealShare,UTcrypt
DM-512k-CarpNight-V2.unr|AmbAncient,AmbOutside,Botpack,Core,Crypt,DoorsAnc,Engine,GenEarth,genfluid,genfx,GenIn,Lock,NaliCast,NaliFX,ShaneSky,skybox,SkyCity,UnrealShare
DM-512K-CostaDelw00t.unr|AmbOutside,Ancient,Botpack,Core,CTF,DDayFX,Egypt,Engine,GenEarth,HubEffects,Indus6,LadrArrow,Metalmys,NaliFX,SkyCity,SpaceFX,TrenchesFX,UnrealI,UnrealShare,UnWorld2,UTtech1
DM-512k-Courtyard.unr|Botpack,DoorsAnc,Engine,GenEarth,Mine,UnrealShare,XbpFX
DM-512K-DropZone_v2.unr|Botpack,Core,Engine,GenFX,LadrArrow,Metalmys,SGTech1,SpaceFX,Starship,Suprfist,UnrealI,UnrealShare,Xtortion
DM-512K-Gravo_V2.unr|Botpack,Core,CTF,DecayedS,Engine,FractalFX,GenEarth,genfluid,GenFX,LadrArrow,Mine,PlayrShp,RainFX,SaveMe,SpaceFX,UnrealI,UnrealShare,UTtech1,XbpFX,XFX,Xtortion
DM-512K-HallOfMidgets_v1.unr|Addon1,AmbModern,Botpack,Core,Engine,GenFluid,GenFX,Liquids,Nether,ShaneDay,Skaarj,SpaceFX,UnrealI,UnrealShare,UTtech1
DM-512k-In_A_Cave.unr|Botpack,Core,Crypt,Engine,GenEarth,NaliFX,UnrealI,UnrealShare,Wheels
DM-512K-Ioneye-v2.unr|AmbModern,Botpack,Coret_FX,Engine,GenIn,RainFX,Skyward,UnrealI,UnrealShare,UTtech1,UTtech2,UWindow,XFX,Xtortion
DM-512k-IronGuard.unr|Botpack,DoorsMod,Engine,GenEarth,genfluid,GenIn,Metalmys,Mine,PhraelFx,Razor-ub,Skaarj,Slums,UMenu,UnrealShare,UTtech1,UTtech2,UTtech3
DM-512K-Isotope42-V3.unr|AmbAncient,AmbModern,Botpack,Botpck10,Core,CTF,Engine,LadrArrow,PlayrShp,RainFX,UnrealI,UnrealShare,UTtech1,UTtech2
DM-512K-Kaylonv2.unr|AmbModern,Botpack,Core,Engine,firebr,GenEarth,GenFX,Liquids,Mine,SGTech1,TCrystal,UnrealShare,UTtech1,Xtortion
DM-512K-KJ-Ciudad.unr|Botpack,city,Coret_FX,Engine,FractalFX,GenEarth,GenFluid,Mine,RainFX,SaveMe,SGTech1,SkyCity,Slums,TrenchesFX,UnrealI,UnrealShare,UTtech1
DM-512K-MeinKraft.unr|AmbAncient,Botpack,Core,Detail,Editor,Engine,NaliFX,Phantom,ShaneDay,UnrealI,UnrealShare,XFX
DM-512k-OoeyGooey.unr|AmbAncient,Botpack,Engine,genfluid,GenFX,Liquids,Metalmys,ShaneChurch,UnrealShare,UTtech1,XbpFX
DM-512K-Qesh.unr|AmbAncient,AmbOutside,Ancient,Botpack,DoorsAnc,Engine,GenEarth,GenFX,GenIn,Liquids,SkyBox,UnrealShare,UnWorld2
DM-512k-Ratcherv2.unr|Botpack,Coret_FX,CTF,Engine,FractalFX,GenEarth,genfluid,GenFX,GenIn,Indus5,Organic,SkyBox,UnrealI,UnrealShare,UTtech1
DM-512K-RooftopRage_v1.unr|Botpack,city,Core,CTF,DecayedS,Engine,genfluid,GenFX,Lock,Mine,PlayrShp,SGTech1,ShaneChurch,ShaneDay,ShaneSky,Slums,SpaceFX,UnrealShare,UTtech1,Xtortion
DM-512K-Sonder.unr|Botpack,Core,Engine,Enigma,GenFX,Liquids,NaliCast,SkyCity,UnrealI,UnrealShare,UTtech1
